ascii code:   0, frequency: 0.0001386, huffman code: 1000001011011
ascii code:   1, frequency: 0.0000000, huffman code: 100000101110010000000011010101010001110000
ascii code:   2, frequency: 0.0000000, huffman code: 100000101110010000000011010101010001110001
ascii code:   3, frequency: 0.0000000, huffman code: 1000001011100100000000110101011
ascii code:   4, frequency: 0.0000000, huffman code: 100000101110010000000011010100
ascii code:   5, frequency: 0.0000000, huffman code: 1000001011100100000000110101010011101
ascii code:   6, frequency: 0.0000000, huffman code: 100000101110010000000011010101010001110011
ascii code:   7, frequency: 0.0000000, huffman code: 1000001011100100000001
ascii code:   8, frequency: 0.0000000, huffman code: 1000001011100111111110
ascii code:   9, frequency: 0.0006928, huffman code: 10000010010
ascii code:  10, frequency: 0.0048497, huffman code: 10010101
ascii code:  11, frequency: 0.0000000, huffman code: 10000010111001000000001101010100110
ascii code:  12, frequency: 0.0000000, huffman code: 1000001011100100000000110101010100010
ascii code:  13, frequency: 0.0000000, huffman code: 100000101110010000000011010101010001111
ascii code:  14, frequency: 0.0000000, huffman code: 100000101110010000000011010101010001110010
ascii code:  15, frequency: 0.0000000, huffman code: 100000101110011110
ascii code:  16, frequency: 0.0000000, huffman code: 10000010111001001
ascii code:  17, frequency: 0.0000000, huffman code: 10000010111001111110
ascii code:  18, frequency: 0.0000000, huffman code: 100000101110010000001
ascii code:  19, frequency: 0.0000000, huffman code: 100000101110011111111100
ascii code:  20, frequency: 0.0000000, huffman code: 10000010111001000000000
ascii code:  21, frequency: 0.0000000, huffman code: 10000010111001000000001101011
ascii code:  22, frequency: 0.0000000, huffman code: 1000001011100100000000110100
ascii code:  23, frequency: 0.0000000, huffman code: 1000001011100100000000110101010010
ascii code:  24, frequency: 0.0000000, huffman code: 10000010111001000000001101010101001
ascii code:  25, frequency: 0.0000000, huffman code: 100000101110010000000011010101010000
ascii code:  26, frequency: 0.0000000, huffman code: 100000101110010000000011010101001111
ascii code:  27, frequency: 0.0000000, huffman code: 10000010111001000000001101010100111001
ascii code:  28, frequency: 0.0000000, huffman code: 100000101110010000000011010101010001101
ascii code:  29, frequency: 0.0000000, huffman code: 1000001011100100000000110101010100011000
ascii code:  30, frequency: 0.0000000, huffman code: 10000010111001000000001101010100111000010
ascii code:  31, frequency: 0.0000000, huffman code: 10000010111001110
ascii code:  32, frequency: 0.1551891, huffman code: 101
ascii code:  33, frequency: 0.0001386, huffman code: 1000001011010
ascii code:  34, frequency: 0.0008314, huffman code: 0100010000
ascii code:  35, frequency: 0.0000000, huffman code: 1000001011100111110
ascii code:  36, frequency: 0.0000000, huffman code: 1000001011100100001
ascii code:  37, frequency: 0.0000000, huffman code: 100000101110011111110
ascii code:  38, frequency: 0.0001386, huffman code: 1000001011101
ascii code:  39, frequency: 0.0012471, huffman code: 1001011111
ascii code:  40, frequency: 0.0001386, huffman code: 1001011100100
ascii code:  41, frequency: 0.0001386, huffman code: 1001011100111
ascii code:  42, frequency: 0.0000000, huffman code: 10000010111001111111111
ascii code:  43, frequency: 0.0000000, huffman code: 1000001011100100000000111
ascii code:  44, frequency: 0.0113621, huffman code: 1000000
ascii code:  45, frequency: 0.0008314, huffman code: 0100010001
ascii code:  46, frequency: 0.0060967, huffman code: 10000111
ascii code:  47, frequency: 0.0000000, huffman code: 1000001011100100000000110101010101
ascii code:  48, frequency: 0.0005542, huffman code: 10010110110
ascii code:  49, frequency: 0.0019399, huffman code: 100100000
ascii code:  50, frequency: 0.0011085, huffman code: 1001011001
ascii code:  51, frequency: 0.0018013, huffman code: 010001011
ascii code:  52, frequency: 0.0006928, huffman code: 10000010100
ascii code:  53, frequency: 0.0002771, huffman code: 100101110001
ascii code:  54, frequency: 0.0004157, huffman code: 10010000100
ascii code:  55, frequency: 0.0001386, huffman code: 1001011000010
ascii code:  56, frequency: 0.0005542, huffman code: 10010110111
ascii code:  57, frequency: 0.0008314, huffman code: 0100010010
ascii code:  58, frequency: 0.0005542, huffman code: 10010000111
ascii code:  59, frequency: 0.0001386, huffman code: 10000010111000
ascii code:  60, frequency: 0.0000000, huffman code: 1000001011100100000000110101010100011001
ascii code:  61, frequency: 0.0000000, huffman code: 1000001011100100000000110101010011100011
ascii code:  62, frequency: 0.0000000, huffman code: 10000010111001000000001101010100111000011
ascii code:  63, frequency: 0.0005542, huffman code: 10010000110
ascii code:  64, frequency: 0.0000000, huffman code: 1000001011100101
ascii code:  65, frequency: 0.0006928, huffman code: 10000010101
ascii code:  66, frequency: 0.0006928, huffman code: 10000010011
ascii code:  67, frequency: 0.0018013, huffman code: 010001010
ascii code:  68, frequency: 0.0006928, huffman code: 10000010001
ascii code:  69, frequency: 0.0006928, huffman code: 10000010000
ascii code:  70, frequency: 0.0002771, huffman code: 100000101111
ascii code:  71, frequency: 0.0000000, huffman code: 100000101110010001
ascii code:  72, frequency: 0.0002771, huffman code: 100101100000
ascii code:  73, frequency: 0.0012471, huffman code: 1001011110
ascii code:  74, frequency: 0.0004157, huffman code: 01000100111
ascii code:  75, frequency: 0.0000000, huffman code: 10000010111001000001
ascii code:  76, frequency: 0.0038797, huffman code: 10010001
ascii code:  77, frequency: 0.0006928, huffman code: 10000011011
ascii code:  78, frequency: 0.0006928, huffman code: 10000011010
ascii code:  79, frequency: 0.0002771, huffman code: 100101110000
ascii code:  80, frequency: 0.0004157, huffman code: 01000100110
ascii code:  81, frequency: 0.0001386, huffman code: 1001011100110
ascii code:  82, frequency: 0.0005542, huffman code: 10010110001
ascii code:  83, frequency: 0.0011085, huffman code: 1001011101
ascii code:  84, frequency: 0.0015242, huffman code: 1000001100
ascii code:  85, frequency: 0.0005542, huffman code: 10010110101
ascii code:  86, frequency: 0.0001386, huffman code: 1001011000011
ascii code:  87, frequency: 0.0005542, huffman code: 10010110100
ascii code:  88, frequency: 0.0001386, huffman code: 1001011100101
ascii code:  89, frequency: 0.0000000, huffman code: 100000101110010000000010
ascii code:  90, frequency: 0.0000000, huffman code: 100000101110011111111101
ascii code:  91, frequency: 0.0029098, huffman code: 100001101
ascii code:  92, frequency: 0.0000000, huffman code: 10000010111001000000001100
ascii code:  93, frequency: 0.0029098, huffman code: 100000111
ascii code:  94, frequency: 0.0000000, huffman code: 100000101110010000000011011
ascii code:  95, frequency: 0.0000000, huffman code: 100000101110010000000011010101011
ascii code:  96, frequency: 0.0000000, huffman code: 100000101110010000000011010101000
ascii code:  97, frequency: 0.0623528, huffman code: 1101
